method,spearman_rho,rho_ci_low,rho_ci_high,rho_p_value,partial_rho_given_volume,partial_rho_ci_low,partial_rho_ci_high,review_auc,review_auc_ci_low,review_auc_ci_high,review_auc_norm,quality_auc,quality_auc_ci_low,quality_auc_ci_high,quality_auc_norm,review_auc_minus_volume,review_auc_minus_volume_ci_low,review_auc_minus_volume_ci_high,quality_auc_minus_volume,quality_auc_minus_volume_ci_low,quality_auc_minus_volume_ci_high
neg_volume_ml,-0.6093,-0.773,-0.3662,0.0,,,,0.8963,0.7683,0.9878,0.8779,0.98,0.9782,0.9814,0.6865,0.0,0.0,0.0,0.0,0.0,0.0
entropy_sum_ml,0.507,0.2304,0.7093,0.0007,-0.4491,-0.6348,-0.0103,0.1463,0.0122,0.2907,-0.7909,0.9752,0.9714,0.9785,-0.5434,-0.75,-0.9756,-0.5122,-0.0048,-0.0077,-0.0021
entropy_mean_region,-0.6304,-0.8246,-0.3489,0.0,-0.345,-0.6797,-0.0224,0.9146,0.8078,0.9878,0.9186,0.9801,0.9785,0.9815,0.7331,0.0183,-0.0325,0.0915,0.0002,-0.0004,0.0009
entropy_per_volume,-0.7034,-0.8503,-0.4763,0.0,-0.4434,-0.7285,-0.1288,0.9024,0.7683,0.9878,0.8915,0.9804,0.9788,0.9817,0.789,0.0061,-0.0488,0.061,0.0004,-0.0001,0.001
soft_dice_gap,-0.7053,-0.8554,-0.4763,0.0,-0.4485,-0.7451,-0.1185,0.9146,0.8127,0.9878,0.9186,0.9803,0.9787,0.9817,0.7847,0.0183,-0.0158,0.0732,0.0004,-0.0001,0.0009
oracle,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.9512,0.9024,0.9878,1.0,0.9812,0.9797,0.9823,1.0,0.0549,0.0,0.1824,0.0012,0.0007,0.0018
random,,,,,,,,0.5018,0.2378,0.75,0.0,0.9773,0.9758,0.9787,0.0,,,,,,
