case_id,variant,pred_volume_ml,neg_volume_ml,entropy_sum_ml,entropy_mean_region,entropy_per_volume,soft_dice_gap,tta_disagreement,tta_std_mean_region
spleen_10,clean,253.5912898276606,-253.5912898276606,90.9367340112602,0.235508993268013,0.3585956523706329,0.05649649204525731,0.034656480097436715,0.008672512136399746
spleen_12,clean,451.5668246260877,-451.5668246260877,128.18211532412704,0.19386281073093414,0.2838607894418862,0.045634727219939664,0.020466644733890593,0.005059173330664635
spleen_13,clean,273.64778204348056,-273.64778204348056,92.7030779112142,0.218613862991333,0.338767876059322,0.05463688996076399,0.03561706101194151,0.008202624507248402
spleen_10,contrast_60,255.67983454099434,-255.67983454099434,92.00681329126758,0.2367730289697647,0.359851661576837,0.05653389515151419,,
spleen_12,contrast_60,455.8628815783737,-455.8628815783737,130.96563508360006,0.19672490656375885,0.2872917282278969,0.045925254703020446,,
spleen_13,contrast_60,277.31364216164025,-277.31364216164025,96.54333578163771,0.2253037691116333,0.3481377080084817,0.05544971603558457,,
spleen_10,lowres_8mm,235.32367613637842,-235.32367613637842,105.74515826821673,0.2914493978023529,0.44936047236884763,0.06911462499541121,,
spleen_12,lowres_8mm,415.8768988200554,-415.8768988200554,147.83024561235553,0.24152015149593353,0.35546635562539336,0.05478492264462642,,
spleen_13,lowres_8mm,237.63504427113136,-237.63504427113136,103.84031632998297,0.27523350715637207,0.43697391791888085,0.0676092845974825,,
spleen_10,noise_60,254.57357341429702,-254.57357341429702,98.51998341664132,0.2544098198413849,0.3870000412662958,0.05984441541482344,,
spleen_12,noise_60,450.7338721271031,-450.7338721271031,134.55288047117153,0.2039852738380432,0.29851956729186924,0.047324281514022015,,
spleen_13,noise_60,275.01387266602546,-275.01387266602546,99.59359657920614,0.23451748490333557,0.3621402644664103,0.05714221338222958,,
