case_id,variant,pred_volume_ml,neg_volume_ml,entropy_sum_ml,entropy_mean_region,entropy_per_volume,soft_dice_gap,tta_disagreement,tta_std_mean_region,model_disagreement,model_diff_mean_region,dice,pred_voxels,truth_voxels,bad_worst1of3
spleen_10,clean,253.5912898276606,-253.5912898276606,90.9367340112602,0.235508993268013,0.3585956523706329,0.0564964920452573,0.0346564800974367,0.0086725121363997,0.0377593017153274,0.0861681476235389,0.9593,53182,53071,True
spleen_12,clean,451.5668246260877,-451.5668246260877,128.18211532412704,0.1938628107309341,0.2838607894418862,0.0456347272199396,0.0204666447338905,0.0050591733306646,0.0383827409143315,0.0793821960687637,0.9698,529659,537685,False
spleen_13,clean,273.64778204348056,-273.64778204348056,92.7030779112142,0.218613862991333,0.338767876059322,0.0546368899607639,0.0356170610119415,0.0082026245072484,0.049826924318499,0.0954723209142685,0.9655,198712,203903,False
